AbuDhabi,24.3865729,54.2784276,-0.0435
Adelaide,-35.0004451,138.3309716,0.1
AliceSprings,-23.7206896,133.7977352,0.056
Alta,69.9613615,23.2415598,-1.0
Athens,37.990832,23.7033199,0.43924
Auckland,-36.859482,174.4259338,0.935
Beijing,39.9385466,116.1172733,0.465
Berlin,52.5065133,13.144554,0.2565
Bern,46.9546486,7.3248303,0.384753
Bordeaux,44.8637065,-0.6561808,-0.29323
Brisbane,-27.4732824,152.747337,0.3
Cairo,30.0594838,31.2234448,0.201493
Cardiff,51.5022199,-3.2750896,-0.2934954535
Chicago,41.8333925,-88.0121484,0.0
CoffsHarbour,-30.2973943,153.0286009,-0.2
Dallas,32.8205865,-96.8716377,-0.00243
Darwin,-12.4258916,130.8632678,-1.0
Dubai,25.0750853,54.9475542,0.04923
Dubbo,-32.2811022,148.3241332,-0.5
GoldCoast,-27.9539379,153.0891699,0.8
Hanoi,20.9734461,105.3724819,-0.34234
Hobart,-42.8823399,147.3198016,0.1
Houston,29.8168824,-95.6814821,0.4333
Jakarta,-6.229728,106.689431,-0.23
Johannesburg,-26.1715046,27.9699842,-0.48596
Lagos,6.5480357,3.1438726,0.354
Liverpool,53.4120954,-3.056141,-0.39433
London,51.5285582,-0.2416812,0.1
Longyearbyen,78.225333,15.4178506,0.938432
LosAngeles,34.0201613,-118.6919212,0.2
Luton,51.8911009,-0.4629551,-0.984374
Madrid,40.4378698,-3.8196208,0.311111111
Manchester,53.472225,-2.2935023,-0.48384
Moscow,55.5807481,36.8251284,-0.21354
Mumbai,19.08,72.741,0.4
NewDelhi,28.527,77.0688988,-0.123
NewYork,40.6971494,-74.2598661,-0.09853
Orange,-33.2510228,148.9917231,-0.3
Oslo,59.8937806,10.6450354,-0.8554
Paris,48.8588377,2.2770202,0.039423
Perth,-32.0397559,115.681346,0.5
Rio,-22.0622485,-44.0443845,-0.2343
Rome,41.909986,12.3959139,0.3942
SanFrancisco,37.7576793,-122.5076401,0.5
Stockholm,59.3260668,17.8419713,0.7764
Sydney,-33.847927,150.651786,0.4
Toulouse,43.6006786,1.3628011,0.12938
Townsville,-19.2967487,146.6151507,1.0
Tromso,69.6651926,18.7776703,-0.93847
Ufa,54.7406256,55.7409393,0.8573
Utqiagvik,71.284992,-156.9219654,-0.9998
Vladivostok,43.1665016,131.8133742,0.234
Washington,38.8935128,-77.1546604,0.0
